ID,FechaPrestamo,EdadPrestamo,MontoPrestado,Cuotas
3405,2006-06-22 00:00:00,42,454,8
9,2006-06-22 00:00:00,44,648,8
3387,2006-06-22 00:00:00,45,418,8
3390,2006-06-22 00:00:00,46,253,8
3392,2006-06-22 00:00:00,52,543,8
3398,2006-06-22 00:00:00,53,258,8
3406,2006-06-22 00:00:00,53,307,8
3404,2006-06-22 00:00:00,68,439,8
2649,2006-06-27 00:00:00,21,599,8
2618,2006-06-27 00:00:00,30,458,8
2641,2006-06-27 00:00:00,44,216,8
2623,2006-06-27 00:00:00,50,429,8
2638,2006-06-27 00:00:00,54,408,8
3765,2006-07-05 00:00:00,43,369,8
3366,2006-07-07 00:00:00,30,424,8
3364,2006-07-07 00:00:00,37,247,8
3351,2006-07-07 00:00:00,39,265,8
837,2006-07-10 00:00:00,38,565,8
835,2006-07-10 00:00:00,59,889,8
739,2006-07-12 00:00:00,26,681,8
533,2006-07-12 00:00:00,37,395,8
556,2006-07-12 00:00:00,37,514,8
528,2006-07-12 00:00:00,46,173,8
734,2006-07-12 00:00:00,58,851,8
727,2006-07-12 00:00:00,58,935,8
2843,2006-07-13 00:00:00,20,203,8
2851,2006-07-13 00:00:00,23,244,8
2828,2006-07-13 00:00:00,27,385,8
2849,2006-07-13 00:00:00,28,440,8
2831,2006-07-13 00:00:00,31,202,8
2845,2006-07-13 00:00:00,32,207,8
2850,2006-07-13 00:00:00,34,378,8
655,2006-07-13 00:00:00,35,472,8
2847,2006-07-13 00:00:00,38,249,8
2852,2006-07-13 00:00:00,40,491,8
2834,2006-07-13 00:00:00,42,366,8
2848,2006-07-13 00:00:00,45,267,8
2853,2006-07-13 00:00:00,51,255,8
2830,2006-07-13 00:00:00,51,389,8
2827,2006-07-13 00:00:00,51,417,8
2829,2006-07-13 00:00:00,53,239,8
2839,2006-07-13 00:00:00,55,316,8
2846,2006-07-13 00:00:00,60,301,8
2838,2006-07-13 00:00:00,66,476,8
1200,2006-07-18 00:00:00,25,955,8
1209,2006-07-18 00:00:00,26,557,8
1206,2006-07-18 00:00:00,32,833,8
1522,2006-07-18 00:00:00,60,485,8
3032,2006-07-19 00:00:00,21,245,8
3031,2006-07-19 00:00:00,22,562,8
3026,2006-07-19 00:00:00,23,374,8
3021,2006-07-19 00:00:00,23,389,8
3025,2006-07-19 00:00:00,32,197,8
3020,2006-07-19 00:00:00,34,516,8
3030,2006-07-19 00:00:00,35,270,8
3012,2006-07-19 00:00:00,35,398,8
3024,2006-07-19 00:00:00,37,397,8
3015,2006-07-19 00:00:00,43,210,8
3011,2006-07-19 00:00:00,45,343,8
3017,2006-07-19 00:00:00,51,244,8
3013,2006-07-19 00:00:00,58,388,8
3033,2006-07-19 00:00:00,59,349,8
3022,2006-07-19 00:00:00,59,453,8
3023,2006-07-19 00:00:00,60,314,8
1081,2006-07-26 00:00:00,55,603,8
1097,2006-07-26 00:00:00,59,879,8
2419,2006-07-27 00:00:00,32,492,8
2436,2006-07-27 00:00:00,62,222,8
478,2006-08-02 00:00:00,40,588,8
487,2006-08-02 00:00:00,46,517,8
477,2006-08-02 00:00:00,60,842,8
945,2006-08-04 00:00:00,29,632,8
941,2006-08-04 00:00:00,31,669,8
955,2006-08-04 00:00:00,39,826,8
948,2006-08-04 00:00:00,63,902,8
1468,2006-08-07 00:00:00,30,531,8
1455,2006-08-07 00:00:00,33,270,8
1470,2006-08-07 00:00:00,35,460,8
1453,2006-08-07 00:00:00,37,325,8
1472,2006-08-07 00:00:00,39,473,8
3043,2006-08-09 00:00:00,35,557,8
